source,target,relation
aloe,aloe_arborescens,has_species
aloe_arborescens,C6_robuste,has_trait
aloe,aloe_boylei,has_species
aloe_boylei,C3_orthotrope,has_trait
aloe,aloe_cooperi,has_species
aloe_cooperi,C3_orthotrope,has_trait
aloe,aloe_english,has_species
aloe_english,C3_orthotrope,has_trait
aloe_english,C8_plagiotrope,has_trait
aloe,aloe_hlangapies,has_species
aloe_hlangapies,C3_orthotrope,has_trait
aloe_hlangapies,C8_plagiotrope,has_trait
aloe,aloe_kraussii,has_species
aloe_kraussii,C3_orthotrope,has_trait
aloe,aloe_marlothii,has_species
aloe_marlothii,C3_orthotrope,has_trait
aloe_marlothii,C8_plagiotrope,has_trait
aloe,aloe_micracantha,has_species
aloe_micracantha,C3_orthotrope,has_trait
aloe,aloe_neilcrouchii,has_species
aloe_neilcrouchii,C3_orthotrope,has_trait
aloe_neilcrouchii,C6_robuste,has_trait
aloe_neilcrouchii,C8_plagiotrope,has_trait
aloe,aloe_pluridens,has_species
aloe_pluridens,C3_orthotrope,has_trait
aloe,aloe_spicata,has_species
aloe_spicata,C3_orthotrope,has_trait
aloe_spicata,C8_plagiotrope,has_trait
aloe,aloe_strand,has_species
aloe_strand,C3_orthotrope,has_trait
aloe,aloe_suffulta,has_species
aloe_suffulta,C8_plagiotrope,has_trait
aloe,aloe_tenuior,has_species
aloe_tenuior,C1_rampant,has_trait
aloe_tenuior,C8_plagiotrope,has_trait
aloe,aloe_tongaensis,has_species
aloe_tongaensis,C1_rampant,has_trait
aloe,aloe_vryheidensis,has_species
aloe_vryheidensis,C1_rampant,has_trait
aloe_vryheidensis,C3_orthotrope,has_trait
aloe_vryheidensis,C8_plagiotrope,has_trait
aloiampelos,aloiampelos_tenuior,has_species
aloiampelos_tenuior,C6_robuste,has_trait
aloidendron,aloidendron_barberae,has_species
aloidendron_barberae,C3_orthotrope,has_trait
aloidendron,aloidendron_tongaense,has_species
aloidendron_tongaense,C3_orthotrope,has_trait
aloidendron_tongaense,C8_plagiotrope,has_trait
hydnora,hydnora_africana,has_species
hydnora_africana,C1_rampant,has_trait
mesembryanthemum,mesembryanthemum_rhopalophyllum,has_species
mesembryanthemum_rhopalophyllum,C1_rampant,has_trait
polypodium,polypodium_africanum,has_species
polypodium_africanum,C1_rampant,has_trait
south,south_africa,has_species
south_africa,C1_rampant,has_trait
south_africa,C2_volubile,has_trait
south_africa,C3_orthotrope,has_trait
south_africa,C7_cespiteux,has_trait
south_africa,C8_plagiotrope,has_trait
achillea,achillea_ligustica,has_species
achillea_ligustica,C3_orthotrope,has_trait
adonis,adonis_autumnalis,has_species
adonis_autumnalis,C3_orthotrope,has_trait
alsine,alsine_procumbens,has_species
alsine_procumbens,C1_rampant,has_trait
alyssum,alyssum_atlanticum,has_species
alyssum_atlanticum,C5_flexueux,has_trait
alyssum,alyssum_maritimum,has_species
alyssum_maritimum,C1_rampant,has_trait
alyssum_maritimum,C3_orthotrope,has_trait
amaranthus,amaranthus_blitoun,has_species
amaranthus_blitoun,C1_rampant,has_trait
amaranthus_blitoun,C8_plagiotrope,has_trait
ampelodesmos,ampelodesmos_tenax,has_species
ampelodesmos_tenax,C8_plagiotrope,has_trait
anabasis,anabasis_articulata,has_species
anabasis_articulata,C1_rampant,has_trait
anabasis_articulata,C3_orthotrope,has_trait
anacyclus,anacyclus_clavatus,has_species
anacyclus_clavatus,C1_rampant,has_trait
anacyclus,anacyclus_pedunculatus,has_species
anacyclus_pedunculatus,C3_orthotrope,has_trait
anagallis,anagallis_arvensis,has_species
anagallis_arvensis,C1_rampant,has_trait
anagallis_arvensis,C3_orthotrope,has_trait
anagallis_arvensis,C6_robuste,has_trait
anagallis_arvensis,C8_plagiotrope,has_trait
anchusa,anchusa_aggregata,has_species
anchusa_aggregata,C3_orthotrope,has_trait
anthemis,anthemis_maritima,has_species
anthemis_maritima,C3_orthotrope,has_trait
anthemis_maritima,C6_robuste,has_trait
anthriscus,anthriscus_vulgaris,has_species
anthriscus_vulgaris,C3_orthotrope,has_trait
anthyllis,anthyllis_vulneraria,has_species
anthyllis_vulneraria,C1_rampant,has_trait
anthyllis_vulneraria,C3_orthotrope,has_trait
anthyllis_vulneraria,C5_flexueux,has_trait
anthyllis_vulneraria,C8_plagiotrope,has_trait
antirrhinum,antirrhinum_orontium,has_species
antirrhinum_orontium,C6_robuste,has_trait
antirrhinum,antirrhinum_toureronrt,has_species
antirrhinum_toureronrt,C3_orthotrope,has_trait
antirrhinum,antirrhinum_tournefort,has_species
antirrhinum_tournefort,C3_orthotrope,has_trait
arabis,arabis_doumeti,has_species
arabis_doumeti,C3_orthotrope,has_trait
arenaria,arenaria_campestris,has_species
arenaria_campestris,C3_orthotrope,has_trait
arenaria_campestris,C7_cespiteux,has_trait
arenaria,arenaria_cosson,has_species
arenaria_cosson,C3_orthotrope,has_trait
arenaria,arenaria_diandra,has_species
arenaria_diandra,C1_rampant,has_trait
arenaria_diandra,C3_orthotrope,has_trait
arenaria_diandra,C6_robuste,has_trait
arenaria,arenaria_media,has_species
arenaria_media,C3_orthotrope,has_trait
arenaria_media,C8_plagiotrope,has_trait
arenaria,arenaria_pomel,has_species
arenaria_pomel,C3_orthotrope,has_trait
arenaria_pomel,C6_robuste,has_trait
arenaria,arenaria_spathulata,has_species
arenaria_spathulata,C6_robuste,has_trait
arenaria,arenaria_trinervia,has_species
arenaria_trinervia,C1_rampant,has_trait
arenaria_trinervia,C3_orthotrope,has_trait
aristolochia,aristolochia_tournefort,has_species
aristolochia_tournefort,C2_volubile,has_trait
artemisia,artemisia_arborescens,has_species
artemisia_arborescens,C8_plagiotrope,has_trait
artemisia,artemisia_tournefort,has_species
artemisia_tournefort,C8_plagiotrope,has_trait
asparagus,asparagus_acutifolius,has_species
asparagus_acutifolius,C3_orthotrope,has_trait
asparagus_acutifolius,C5_flexueux,has_trait
asparagus_acutifolius,C6_robuste,has_trait
asparagus,asparagus_asperge,has_species
asparagus_asperge,C3_orthotrope,has_trait
asperula,asperula_arvensis,has_species
asperula_arvensis,C3_orthotrope,has_trait
asperula,asperula_calabrica,has_species
asperula_calabrica,C3_orthotrope,has_trait
